Tu peux résister à la tentation de la végétation luxuriante	0.4	1.8	0.7	3	2.2	False	0.41	{'résister', 'végétation', 'tentation', 'luxuriante'}	['végétation', 'satisfait']	10	Tu peux résister à la tentation
Un climat chaud est idéal pour admirer la beauté des espèces de plantes	0.54	1.7	0.72	2	3.0	False	0.46	{'est', 'idéal', 'climat', 'plantes', 'admirer', 'espèces', 'beauté'}	['espèce', 'mélodie']	13	Un climat chaud est idéal pour admirer la
Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin	0.54	1.7	0.72	3	3.17	False	0.45	{'jardin', 'est', 'idéal', 'luxuriante', 'climat', 'admirer', 'nature'}	['admirer', 'restaurant']	13	Un climat chaud est idéal pour admirer la
Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin botanique, où l'électricité	0.56	1.7	0.72	3	3.0	False	0.47	{'est', 'idéal', 'luxuriante', 'climat', "l'électricité", 'nature', 'jardin', 'botanique,', 'admirer'}	['électricité', 'harmonie']	16	Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin
Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement	0.53	1.8	0.7	3	3.12	False	0.44	{"l'environnement", 'est', 'idéal', 'luxuriante', 'climat', 'nature', 'jardin', 'harmonie', 'admirer'}	['électricité', 'harmonie']	17	Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin
Un climat chaud est idéal pour admirer la nature dans ce village	0.5	1.8	0.7	3	3.17	False	0.42	{'village', 'est', 'idéal', 'climat', 'admirer', 'nature'}	['village', 'unique']	12	Un climat chaud est idéal pour admirer la nature
Un climat chaud est idéal pour admirer la nature dans ce village	0.5	1.8	0.7	3	3.17	False	0.42	{'village', 'est', 'idéal', 'climat', 'admirer', 'nature'}	['village', 'unique']	12	Un climat chaud est idéal pour admirer la nature
Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin botanique, où l'électricité alimente un train panoramique	0.55	1.7	0.72	3	3.62	False	0.44	{'train', 'est', 'idéal', 'luxuriante', 'climat', "l'électricité", 'nature', 'jardin', 'botanique,', 'admirer', 'panoramique'}	['panoramique', 'monuments']	20	Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin botanique, où l'électricité
Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement La végétation luxuriante	0.5	1.6	0.73	3	3.0	False	0.44	{'végétation', "l'environnement", 'est', 'idéal', 'luxuriante', 'climat', 'nature', 'jardin', 'harmonie', 'admirer'}	['mélodie', 'végétation']	20	Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement
Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement , la végétation luxuriante	0.5	1.7	0.72	3	3.12	False	0.43	{'végétation', "l'environnement", 'est', 'idéal', 'luxuriante', 'climat', 'nature', 'jardin', 'harmonie', 'admirer'}	['mélodie', 'végétation']	21	Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement
Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement , où la végétation	0.5	1.9	0.68	3	3.0	False	0.42	{'végétation', "l'environnement", 'est', 'idéal', 'luxuriante', 'climat', 'nature', 'jardin', 'harmonie', 'admirer'}	['mélodie', 'végétation']	21	Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement
Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement , la végétation luxuriante apporte une joie immense aux	0.44	2.0	0.67	4	3.5	False	0.35	{'végétation', "l'environnement", 'est', 'idéal', 'luxuriante', 'climat', 'nature', 'jardin', 'harmonie', 'admirer', 'immense'}	['joie', 'île']	26	Un climat chaud est idéal pour admirer la nature luxuriante dans un jardin en harmonie avec l'environnement , la végétation luxuriante
Depuis l'importance de l'éducation est divine pour le développement d'une société	0.55	1.7	0.72	3	3.8	False	0.42	{"l'éducation", 'développement', 'est', 'divine', 'société', "l'importance"}	['divine', 'tropicale']	11	Depuis l'importance de l'éducation est
Depuis l'importance de l'éducation est divine pour le développement de la	0.45	2.0	0.67	3	3.2	False	0.38	{"l'éducation", 'développement', 'est', 'divine', "l'importance"}	['divine', 'tropicale']	11	Depuis l'importance de l'éducation est
Depuis l'importance de l'éducation est devenue une priorité divine dans notre société	0.5	1.8	0.7	3	4.5	False	0.35	{"l'éducation", 'est', 'priorité', 'divine', 'société', "l'importance"}	['divine', 'tropicale']	12	Depuis l'importance de l'éducation est
Depuis l'importance de l'éducation est devenue une priorité divine dans notre société la créativité artistique	0.53	1.8	0.7	3	4.14	False	0.39	{'artistique', 'créativité', 'est', 'priorité', "l'éducation", 'divine', 'société', "l'importance"}	['artistique', 'région']	15	Depuis l'importance de l'éducation est devenue une priorité divine dans notre société
Depuis l'importance de l'éducation est devenue une priorité divine dans notre société la créativité artistique est	0.5	1.7	0.72	3	4.14	False	0.38	{'artistique', 'créativité', 'est', 'priorité', "l'éducation", 'divine', 'société', "l'importance"}	['artistique', 'région']	16	Depuis l'importance de l'éducation est devenue une priorité divine dans notre société
Au restaurant, le serveur nous a recommandé une délicieuse comédie de	0.45	2.0	0.67	3	2.33	False	0.42	{'restaurant,', 'délicieuse', 'serveur', 'recommandé', 'comédie'}	['comédie', 'chocolat']	11	Au restaurant, le serveur nous a recommandé
Au restaurant, le serveur nous a recommandé une délicieuse comédie de théâtre à quelques mètres de	0.44	2.1	0.65	3	2.88	False	0.38	{'mètres', 'théâtre', 'restaurant,', 'délicieuse', 'serveur', 'recommandé', 'comédie'}	['touriste', 'mètres']	16	Au restaurant, le serveur nous a recommandé une délicieuse comédie de
Cette mélodie tropicale me transporte absolument au zoo de	0.56	1.6	0.73	2	2.75	False	0.49	{'transporte', 'mélodie', 'absolument', 'zoo', 'tropicale'}	['zoo', 'absolument']	9	Cette mélodie tropicale me transporte
Cette mélodie tropicale me transporte absolument vers un paradis	0.56	1.6	0.73	3	3.25	False	0.47	{'transporte', 'mélodie', 'absolument', 'paradis', 'tropicale'}	['zoo', 'absolument']	9	Cette mélodie tropicale me transporte
Cette mélodie tropicale me transporte absolument au zoo de la	0.5	1.8	0.7	3	2.6	False	0.45	{'transporte', 'mélodie', 'absolument', 'zoo', 'tropicale'}	['zoo', 'absolument']	10	Cette mélodie tropicale me transporte
Cette mélodie tropicale me transporte absolument au zoo de singes en	0.45	2.0	0.67	4	3.17	False	0.38	{'transporte', 'mélodie', 'absolument', 'zoo', 'tropicale'}	['zoo', 'absolument']	11	Cette mélodie tropicale me transporte
Cette mélodie tropicale me transporte absolument au zoo de Singapour, je recommande vivement	0.54	1.6	0.73	2	3.5	False	0.44	{'transporte', 'mélodie', 'zoo', 'absolument', 'Singapour,', 'recommande', 'tropicale'}	['absolument', 'recommander']	13	Cette mélodie tropicale me transporte absolument au zoo de
Cette mélodie tropicale me transporte absolument au zoo de Singapour, je recommande vivement	0.54	1.6	0.73	2	3.5	False	0.44	{'transporte', 'mélodie', 'zoo', 'absolument', 'Singapour,', 'recommande', 'tropicale'}	['absolument', 'recommander']	13	Cette mélodie tropicale me transporte absolument au zoo de
Cette mélodie tropicale me transporte absolument au zoo de Singapour. Je recommande vivement	0.54	1.7	0.72	2	3.5	False	0.43	{'Singapour.', 'transporte', 'mélodie', 'zoo', 'absolument', 'recommande', 'tropicale'}	['absolument', 'recommander']	13	Cette mélodie tropicale me transporte absolument au zoo de
Cette mélodie tropicale me transporte absolument au zoo de Singapour. Je recommande vivement	0.54	1.7	0.72	2	3.5	False	0.43	{'Singapour.', 'transporte', 'mélodie', 'zoo', 'absolument', 'recommande', 'tropicale'}	['absolument', 'recommander']	13	Cette mélodie tropicale me transporte absolument au zoo de
